split,record_index,token_count,will_be_truncated
train,0,618,False
train,1,609,False
train,2,519,False
train,3,745,False
train,4,567,False
train,5,482,False
train,6,517,False
train,7,647,False
train,8,582,False
train,9,509,False
train,10,497,False
train,11,658,False
train,12,694,False
train,13,546,False
train,14,566,False
train,15,509,False
train,16,559,False
train,17,549,False
train,18,615,False
train,19,511,False
train,20,499,False
train,21,560,False
train,22,557,False
train,23,610,False
train,24,762,False
train,25,603,False
train,26,496,False
train,27,552,False
train,28,512,False
train,29,589,False
train,30,590,False
train,31,661,False
train,32,530,False
train,33,563,False
train,34,943,False
train,35,532,False
train,36,594,False
train,37,915,False
train,38,545,False
train,39,543,False
train,40,604,False
train,41,583,False
train,42,597,False
train,43,526,False
train,44,573,False
train,45,635,False
train,46,563,False
train,47,542,False
train,48,608,False
train,49,551,False
train,50,546,False
train,51,559,False
train,52,647,False
train,53,586,False
train,54,515,False
train,55,555,False
train,56,643,False
train,57,822,False
train,58,522,False
train,59,536,False
train,60,563,False
train,61,581,False
train,62,529,False
train,63,560,False
train,64,564,False
train,65,679,False
train,66,687,False
train,67,575,False
train,68,484,False
train,69,575,False
train,70,495,False
train,71,704,False
train,72,548,False
train,73,653,False
train,74,588,False
train,75,593,False
train,76,479,False
train,77,602,False
train,78,576,False
train,79,544,False
train,80,535,False
train,81,500,False
train,82,737,False
train,83,630,False
train,84,497,False
train,85,507,False
train,86,545,False
train,87,568,False
train,88,683,False
train,89,551,False
train,90,1437,True
train,91,579,False
train,92,511,False
train,93,561,False
train,94,546,False
train,95,513,False
train,96,560,False
train,97,514,False
train,98,726,False
train,99,515,False
train,100,558,False
train,101,567,False
train,102,578,False
train,103,528,False
train,104,592,False
train,105,506,False
train,106,560,False
train,107,681,False
train,108,699,False
train,109,504,False
train,110,520,False
train,111,555,False
train,112,538,False
train,113,520,False
train,114,531,False
train,115,519,False
train,116,469,False
train,117,548,False
train,118,480,False
train,119,629,False
train,120,532,False
train,121,525,False
train,122,550,False
train,123,546,False
train,124,719,False
train,125,530,False
train,126,554,False
train,127,703,False
train,128,551,False
train,129,528,False
train,130,587,False
train,131,543,False
train,132,1751,True
train,133,481,False
train,134,505,False
train,135,504,False
train,136,747,False
train,137,910,False
train,138,465,False
train,139,570,False
train,140,527,False
train,141,533,False
train,142,589,False
train,143,628,False
train,144,669,False
train,145,903,False
train,146,513,False
train,147,775,False
train,148,925,False
train,149,597,False
train,150,528,False
train,151,712,False
train,152,486,False
train,153,549,False
train,154,599,False
train,155,563,False
train,156,504,False
train,157,649,False
train,158,609,False
train,159,583,False
train,160,761,False
train,161,492,False
train,162,540,False
train,163,599,False
train,164,598,False
train,165,1444,True
train,166,691,False
train,167,606,False
train,168,878,False
train,169,501,False
train,170,494,False
train,171,1047,True
train,172,552,False
train,173,542,False
train,174,559,False
train,175,618,False
train,176,507,False
train,177,664,False
train,178,935,False
train,179,514,False
train,180,522,False
train,181,532,False
train,182,523,False
train,183,501,False
train,184,505,False
train,185,716,False
train,186,523,False
train,187,669,False
train,188,736,False
train,189,492,False
train,190,500,False
train,191,554,False
train,192,555,False
train,193,502,False
train,194,594,False
train,195,512,False
train,196,590,False
train,197,600,False
train,198,579,False
train,199,556,False
train,200,558,False
train,201,617,False
train,202,1000,False
train,203,556,False
train,204,799,False
train,205,590,False
train,206,485,False
train,207,564,False
train,208,540,False
train,209,828,False
train,210,454,False
train,211,547,False
train,212,536,False
train,213,506,False
train,214,721,False
train,215,591,False
train,216,558,False
train,217,547,False
train,218,571,False
train,219,583,False
train,220,693,False
train,221,725,False
train,222,545,False
train,223,669,False
train,224,553,False
train,225,765,False
train,226,655,False
train,227,508,False
train,228,572,False
train,229,694,False
train,230,581,False
train,231,478,False
validation,0,574,False
validation,1,1095,True
validation,2,501,False
validation,3,538,False
validation,4,757,False
validation,5,482,False
validation,6,542,False
validation,7,584,False
validation,8,530,False
validation,9,509,False
validation,10,501,False
validation,11,626,False
validation,12,545,False
validation,13,496,False
validation,14,606,False
validation,15,542,False
validation,16,648,False
validation,17,796,False
validation,18,558,False
validation,19,549,False
validation,20,634,False
validation,21,655,False
validation,22,515,False
validation,23,465,False
validation,24,693,False
validation,25,525,False
validation,26,907,False
validation,27,730,False
validation,28,648,False
validation,29,1052,True
validation,30,541,False
validation,31,653,False
validation,32,626,False
validation,33,600,False
validation,34,486,False
validation,35,686,False
validation,36,610,False
validation,37,689,False
validation,38,947,False
validation,39,512,False
validation,40,489,False
validation,41,579,False
validation,42,699,False
validation,43,532,False
validation,44,592,False
validation,45,881,False
validation,46,459,False
validation,47,538,False
validation,48,555,False
validation,49,523,False
validation,50,530,False
validation,51,650,False
validation,52,525,False
validation,53,668,False
validation,54,565,False
validation,55,470,False
validation,56,662,False
validation,57,576,False
validation,58,291,False
