cve_id,description,cwe,vendors,products,cvss_base_score,cvss_exploitability_score,cvss_impact_score,attackVector,attackComplexity,privilegesRequired,userInteraction,scope,confidentialityImpact,integrityImpact,availabilityImpact,published,modified,is_exploited
CVE-2022-205652,Vulnerability in product allows CWE-20 with LOCAL access and LOW attack complexity. Requires LOW privileges and user interaction=NONE. CVSS base score 3.8. Exploitation in the wild has not been confirmed.,CWE-20,Adobe;Linux,Linux Kernel;iOS,3.753356403483357,2.715133069358158,2.1825944594504767,LOCAL,LOW,LOW,NONE,CHANGED,LOW,HIGH,NONE,2022-10-07T12:49Z,2022-12-20T19:28Z,0
CVE-2018-204084,Vulnerability in product allows CWE-20 with PHYSICAL access and HIGH attack complexity. Requires HIGH privileges and user interaction=REQUIRED. CVSS base score 6.4. Exploitation in the wild has not been confirmed.,CWE-20,Oracle,Safari,6.424433805553778,5.608957185109985,6.295911042703249,PHYSICAL,HIGH,HIGH,REQUIRED,UNCHANGED,LOW,LOW,NONE,2018-09-16T15:43Z,2018-08-02T05:47Z,0
CVE-2019-201131,Vulnerability in product allows CWE-787 with LOCAL access and HIGH attack complexity. Requires LOW privileges and user interaction=REQUIRED. CVSS base score 4.5. Exploitation in the wild has not been confirmed.,CWE-787,Google,Android,4.547082888137808,5.801292100849498,2.2638170280518213,LOCAL,HIGH,LOW,REQUIRED,UNCHANGED,LOW,LOW,HIGH,2019-07-11T17:44Z,2019-03-19T13:31Z,0
CVE-2020-204142,Vulnerability in product allows CWE-89 with LOCAL access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 7.1. Exploitation in the wild has not been confirmed.,CWE-89,IBM,CMS;Exchange Server;VPN Appliance,7.089514588219146,5.634635299727021,7.607719887243565,LOCAL,LOW,NONE,REQUIRED,CHANGED,NONE,HIGH,HIGH,2020-10-22T15:40Z,2020-05-05T17:05Z,0
CVE-2021-203921,Vulnerability in product allows CWE-787 with LOCAL access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 6.3. Exploitation in the wild has not been confirmed.,CWE-787,Adobe;Oracle,Java SE;Safari;iOS,6.292254098241571,6.278726071938721,7.038706559223825,LOCAL,HIGH,HIGH,NONE,CHANGED,NONE,HIGH,LOW,2021-08-09T22:30Z,2021-05-29T22:56Z,0
CVE-2023-205740,Vulnerability in product allows CWE-79 with ADJACENT access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 6.1. Exploitation in the wild has not been confirmed.,CWE-79,Adobe;VMware,CMS,6.14164723770168,6.5585890381822844,6.380491608259319,ADJACENT,LOW,NONE,REQUIRED,CHANGED,LOW,NONE,HIGH,2023-01-17T00:37Z,2023-08-14T08:30Z,0
CVE-2022-100576,Vulnerability in product allows NVD-CWE-noinfo with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=NONE. CVSS base score 8.5. This issue has been observed exploited in the wild.,NVD-CWE-noinfo,Oracle,Android;Linux Kernel;Safari,8.500085775838565,7.8908261618454345,8.24538179227541,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,LOW,2022-01-29T01:01Z,2022-03-12T22:43Z,1
CVE-2019-204602,Vulnerability in product allows CWE-476 with ADJACENT access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 5.5. Exploitation in the wild has not been confirmed.,CWE-476,Linux,Database Server;Linux Kernel;Office,5.472602549899997,5.342075244756448,5.692387266066694,ADJACENT,LOW,NONE,REQUIRED,UNCHANGED,HIGH,NONE,NONE,2019-10-17T05:29Z,2019-09-16T11:15Z,0
CVE-2018-205763,Vulnerability in product allows CWE-287 with NETWORK access and LOW attack complexity. Requires NONE privileges and user interaction=REQUIRED. CVSS base score 5.2. Exploitation in the wild has not been confirmed.,CWE-287,Google;Microsoft,Android;Linux Kernel;Office,5.158568635095793,3.471411169241749,3.630392734275265,NETWORK,LOW,NONE,REQUIRED,CHANGED,NONE,NONE,HIGH,2018-06-09T22:11Z,2018-12-18T01:38Z,0
CVE-2019-100439,Vulnerability in product allows CWE-89 with NETWORK access and HIGH attack complexity. Requires HIGH privileges and user interaction=NONE. CVSS base score 7.1. This issue has been observed exploited in the wild.,CWE-89,IBM,Java SE;VPN Appliance;Web Browser,7.113679442118521,5.419038192417917,5.539236624074516,NETWORK,HIGH,HIGH,NONE,UNCHANGED,HIGH,LOW,HIGH,2019-10-15T01:36Z,2019-03-22T01:25Z,1
